0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.515901, -0.003077, 0.001424, -0.026016, 0.018851, 0.000946
1.027729, -0.006024, 0.002260, -0.046951, 0.045127, 0.000854
1.545420, -0.009207, 0.002814, -0.024094, 0.053829, -0.000305
2.091841, -0.011960, 0.002781, -0.018478, 0.043379, -0.001541
2.686725, -0.019236, 0.002529, 0.088715, 0.031180, -0.000466
3.246117, -0.024703, 0.005327, 0.122803, 0.071553, 0.000061
3.804698, -0.028522, 0.006358, 0.113098, 0.076389, 0.000336
4.357745, -0.031908, 0.007313, 0.099136, 0.079155, 0.000214
4.910701, -0.034957, 0.007902, 0.084015, 0.077290, 0.000031
5.470525, -0.037903, 0.008215, 0.070801, 0.072946, -0.000153
6.037595, -0.040981, 0.008749, 0.060486, 0.071266, -0.000244
6.606324, -0.044128, 0.009721, 0.052933, 0.073459, -0.000305
7.171800, -0.047179, 0.010912, 0.046432, 0.077017, -0.000368
7.732319, -0.050544, 0.012027, 0.043579, 0.079585, -0.000214
8.289299, -0.053818, 0.012860, 0.040710, 0.079982, -0.000275
8.846432, -0.057389, 0.013329, 0.039932, 0.078055, -0.000244
9.407295, -0.060702, 0.013629, 0.037842, 0.075323, -0.000356
9.972028, -0.063700, 0.014162, 0.034424, 0.074162, -0.000485
10.537773, -0.066816, 0.015082, 0.031845, 0.075153, -0.000379
11.100826, -0.110390, 0.018129, 0.219894, 0.087454, 0.028107
11.663132, -0.414634, 0.086561, 1.552048, 0.454672, 0.036896
12.198678, -0.873249, 0.274338, 3.407516, 1.420761, -0.037633
12.704117, -1.256666, 0.490401, 4.730164, 2.442558, 0.087311
13.206869, -1.594527, 0.698812, 5.723633, 3.337729, 0.203735
13.730324, -1.915591, 0.848853, 6.518723, 3.898733, 0.194611
14.235810, -2.196280, 0.868871, 7.096924, 3.862478, 0.214172
14.754593, -2.454969, 0.677851, 7.534653, 3.055984, 0.176758
15.300595, -2.723731, 0.373993, 7.935440, 1.913594, 0.173248
15.822322, -3.072567, 0.076965, 8.566071, 0.871696, 0.188416
16.234310, -3.770336, -0.143421, 10.309174, 0.112876, 0.306793
16.549451, -4.699181, -0.223377, 12.669495, -0.119822, 0.174438
16.712312, -5.982326, -0.202099, 15.963425, -0.066342, 0.175049
16.655279, -7.524879, -0.173338, 19.928757, 0.001783, 0.185822
16.277630, -9.348186, -0.150674, 24.755173, 0.048276, 0.196747
15.528436, -11.340793, -0.132732, 30.204468, 0.073042, 0.217224
14.430771, -13.344750, -0.116846, 35.880722, 0.080282, 0.248962
12.748974, -15.492513, -0.103415, 42.543243, 0.060468, 0.288757
10.848003, -17.326894, -0.116547, 48.789749, 0.111469, 0.188110
8.733967, -18.827746, -0.095230, 54.771988, 0.097248, 0.257416
6.526906, -20.008229, -0.113952, 60.354416, 0.095513, 0.199493
4.326342, -20.872530, -0.120829, 65.448013, 0.090842, 0.183441
2.143483, -21.463618, -0.128245, 70.129837, 0.077693, 0.169373
0.064647, -21.819752, -0.145387, 74.306564, 0.080405, 0.128967
-1.836150, -21.977460, -0.153669, 77.916275, 0.084250, 0.113678
-3.506740, -21.999025, -0.163583, 80.874680, 0.085282, 0.094299
-4.940274, -21.945364, -0.172183, 83.190964, 0.082454, 0.077057
-6.173010, -21.861653, -0.177306, 84.934402, 0.069524, 0.065125
-7.363167, -21.753554, -0.179025, 86.405746, 0.041760, 0.055756
-8.528109, -21.619932, -0.182400, 87.696243, 0.031371, 0.045471
